Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
InterPro_Domains_2019,LysM domain,1/6,0.1176906895299187,0.4177246158210742,0,0,9.505825242718446,20.339570271698133,LYSMD2
InterPro_Domains_2019,Major sperm protein (MSP) domain,1/6,0.1176906895299187,0.4177246158210742,0,0,9.505825242718446,20.339570271698133,CFAP65
InterPro_Domains_2019,"Calmodulin-regulated spectrin-associated protein, CH domain",1/6,0.1176906895299187,0.4177246158210742,0,0,9.505825242718446,20.339570271698133,CAMSAP3
InterPro_Domains_2019,"Ferric reductase, NAD binding domain",1/7,0.1359158167860016,0.4177246158210742,0,0,7.921116504854369,15.808327297249656,NOX5
InterPro_Domains_2019,"STAT transcription factor, DNA-binding",1/7,0.1359158167860016,0.4177246158210742,0,0,7.921116504854369,15.808327297249656,STAT1
InterPro_Domains_2019,"STAT transcription factor, all-alpha domain",1/7,0.1359158167860016,0.4177246158210742,0,0,7.921116504854369,15.808327297249656,STAT1
InterPro_Domains_2019,"STAT transcription factor, protein interaction",1/7,0.1359158167860016,0.4177246158210742,0,0,7.921116504854369,15.808327297249656,STAT1
InterPro_Domains_2019,SUN domain,1/7,0.1359158167860016,0.4177246158210742,0,0,7.921116504854369,15.808327297249656,SUN2
InterPro_Domains_2019,"Homeobox protein PKNOX/Meis, N-terminal",1/7,0.1359158167860016,0.4177246158210742,0,0,7.921116504854369,15.808327297249656,MEIS3
InterPro_Domains_2019,FAD-binding 8,1/7,0.1359158167860016,0.4177246158210742,0,0,7.921116504854369,15.808327297249656,NOX5
InterPro_Domains_2019,"Homeobox protein SIX1, N-terminal SD domain",1/7,0.1359158167860016,0.4177246158210742,0,0,7.921116504854369,15.808327297249656,SIX2
InterPro_Domains_2019,"Zinc finger, RING-type",9/290,0.1478772951508522,0.4177246158210742,0,0,1.5305486064620697,2.9254484182260665,RNF43;TRIM6;RNF224;TRIM4;SIAH1;MUL1;RNF181;RNF5;RNF111
InterPro_Domains_2019,"Ataxin-2, C-terminal",1/8,0.1537653764557207,0.4177246158210742,0,0,6.7891816920943135,12.711570687265134,PAIP2
InterPro_Domains_2019,"Methyl-CpG binding protein 2/3, C-terminal domain",1/8,0.1537653764557207,0.4177246158210742,0,0,6.7891816920943135,12.711570687265134,MBD3L4
InterPro_Domains_2019,"Methyl-CpG-binding domain protein 2/3, p55-binding region",1/8,0.1537653764557207,0.4177246158210742,0,0,6.7891816920943135,12.711570687265134,MBD3L4
InterPro_Domains_2019,"Enhancer of polycomb-like, N-terminal",1/8,0.1537653764557207,0.4177246158210742,0,0,6.7891816920943135,12.711570687265134,EPC2
InterPro_Domains_2019,FCP1 homology domain,1/8,0.1537653764557207,0.4177246158210742,0,0,6.7891816920943135,12.711570687265134,CTDSP2
InterPro_Domains_2019,GAGE,2/32,0.1409676770612268,0.4177246158210742,0,0,3.172262773722628,6.215175440269145,GAGE4;XAGE2
InterPro_Domains_2019,Folate receptor-like,1/8,0.1537653764557207,0.4177246158210742,0,0,6.7891816920943135,12.711570687265134,HHIPL1
InterPro_Domains_2019,"Dynamin, GTPase domain",1/7,0.1359158167860016,0.4177246158210742,0,0,7.921116504854369,15.808327297249656,MX1
InterPro_Domains_2019,DIX domain,1/7,0.1359158167860016,0.4177246158210742,0,0,7.921116504854369,15.808327297249656,DVL2
InterPro_Domains_2019,GTPase effector domain,1/8,0.1537653764557207,0.4177246158210742,0,0,6.7891816920943135,12.711570687265134,MX1
InterPro_Domains_2019,"Pleckstrin homology domain, spectrin-type",1/6,0.1176906895299187,0.4177246158210742,0,0,9.505825242718446,20.339570271698133,SPTBN1
InterPro_Domains_2019,Dynamin central domain,1/6,0.1176906895299187,0.4177246158210742,0,0,9.505825242718446,20.339570271698133,MX1
InterPro_Domains_2019,"RecF/RecN/SMC, N-terminal",1/6,0.1176906895299187,0.4177246158210742,0,0,9.505825242718446,20.339570271698133,SMC1B
InterPro_Domains_2019,"FAM69, protein-kinase domain",1/6,0.1176906895299187,0.4177246158210742,0,0,9.505825242718446,20.339570271698133,PKDCC
InterPro_Domains_2019,SEFIR domain,1/6,0.1176906895299187,0.4177246158210742,0,0,9.505825242718446,20.339570271698133,IL17RE
InterPro_Domains_2019,Dynamin GTPase effector,1/7,0.1359158167860016,0.4177246158210742,0,0,7.921116504854369,15.808327297249656,MX1
InterPro_Domains_2019,Transient receptor ion channel domain,1/6,0.1176906895299187,0.4177246158210742,0,0,9.505825242718446,20.339570271698133,TRPC3
InterPro_Domains_2019,Sterile alpha motif domain,4/93,0.1264069017782743,0.4177246158210742,0,0,2.142578500590643,4.431386261393097,SAMD15;SCML1;KAZN;TP73
InterPro_Domains_2019,"GPCR, family 2-like",3/60,0.1270314829878151,0.4177246158210742,0,0,2.5070603337612325,5.172868544413831,ADGRB1;SCTR;PTH1R
InterPro_Domains_2019,14-3-3 domain,1/7,0.1359158167860016,0.4177246158210742,0,0,7.921116504854369,15.808327297249656,YWHAE
InterPro_Domains_2019,"Nuclear Testis  protein, N-terminal",1/7,0.1359158167860016,0.4177246158210742,0,0,7.921116504854369,15.808327297249656,NUTM2B
InterPro_Domains_2019,"Peptidase M16, C-terminal",1/7,0.1359158167860016,0.4177246158210742,0,0,7.921116504854369,15.808327297249656,UQCRC1
InterPro_Domains_2019,"Peptidase M16, N-terminal",1/7,0.1359158167860016,0.4177246158210742,0,0,7.921116504854369,15.808327297249656,UQCRC1
InterPro_Domains_2019,"Zinc finger, CCCH-type",3/59,0.1224462465988664,0.4177246158210742,0,0,2.551959930313589,5.359328045488272,PAN3;ZC3H3;ZC3H13
InterPro_Domains_2019,PUB domain,1/6,0.1176906895299187,0.4177246158210742,0,0,9.505825242718446,20.339570271698133,ERN1
InterPro_Domains_2019,SMCs flexible hinge,1/6,0.1176906895299187,0.4177246158210742,0,0,9.505825242718446,20.339570271698133,SMC1B
InterPro_Domains_2019,Interferon/interleukin receptor domain,1/9,0.1712470891334764,0.436899624840536,0,0,5.940230582524272,10.48241482742934,IL20RA
InterPro_Domains_2019,"Chaperone DnaJ, C-terminal",1/9,0.1712470891334764,0.436899624840536,0,0,5.940230582524272,10.48241482742934,DNAJB1
InterPro_Domains_2019,Cullin homology domain,1/9,0.1712470891334764,0.436899624840536,0,0,5.940230582524272,10.48241482742934,ANAPC2
InterPro_Domains_2019,VHS domain,1/9,0.1712470891334764,0.436899624840536,0,0,5.940230582524272,10.48241482742934,STAM
Pfam_Domains_2019,Insulin,2/10,0.0171543299082937,0.4381094220491873,0,0,11.909367396593677,48.417588701491695,IGF1;INS
Pfam_Domains_2019,BTB 2,4/50,0.0195584563414815,0.4381094220491873,0,0,4.154565748910386,16.345505520021632,KCTD8;KCNC1;TNFAIP1;KCTD17
Pfam_Domains_2019,Chromo,3/26,0.015980973795921,0.4381094220491873,0,0,6.223966065747614,25.744541882399925,CBX4;CBX1;MPHOSPH8
InterPro_Domains_2019,"Transforming growth factor-beta, C-terminal",2/37,0.1773639594830057,0.4410039401594172,0,0,2.7183872088981578,4.7015903739918015,BMP2;GDF7
InterPro_Domains_2019,"RING-type zinc-finger, LisH dimerisation motif",2/38,0.1848121636182733,0.4410039401594172,0,0,2.642741281427413,4.462044817455663,TRIM6;RNF224
