F7EZ89,Tbc1d15,
G3V665,Castor2,
G3V6P2,Dlst,
G3V6U3,Alg2,
G3V712,Krt7,
G3V722,B4galt1,
G3V7N5,Cpt2,
G3V8N8,Slc7a6os,
G3V8V4,Cers2,
G3V918,Gart,
G3V965,Agpat5,
G3V9P7,Htt,
G3V9W0,Cetn2,
G3X987,Gimap9,
G5E8V9-2,Arfip1,
I7HPW4,Gprc5c,
L0R6Q1,SLC35A4,
M0R715,Pnpla6,
M0R719,Micos13,
M0R9J6,LOC288978,
M0RAD5,Clpp,
O00139-4,KIF2A,
O00217,NDUFS8,
O00231,PSMD11,
O00232,PSMD12,
O00429-2,DNM1L,
O00469-2,PLOD2,
O00487,PSMD14,
O00571,DDX3X,
O00748-4,CES2,
O00754,MAN2B1,
O08641,Sh3yl1,
O08658,Nup88,
O08873,Madd,
O14495,PLPP3,
O14730,RIOK3,
O14776,TCERG1,
O14832,PHYH,
O14966,RAB29,
O14967,CLGN,
O15042,U2SURP,
O15228,GNPAT,
O15264,MAPK13,
O15327,INPP4B,
O15347,HMGB3,
O15460-2,P4HA2,
O35094,Timm44,
O35142,Copb2,
O35550,Rabep1,
O35552,Pfkfb3,
O35567,Atic,
O35828,Coro7,
O35857,Timm44,
O43181,NDUFS4,
O43252,PAPSS1,
O43306,ADCY6,
O43312-5,MTSS1,
O43314,PPIP5K2,
O43548,TGM5,
O43615,TIMM44,
O43681,GET3,
O43708,GSTZ1,
O43819,SCO2,
O43824,GTPBP6,
O43924,PDE6D,
O54750,Cyp2j6,
O54861,Sort1,
O54889,Polr1a,
O54940,Bnip2,
O55012,Picalm,
O55057,Pde6d,
O60306,AQR,
O60313-2,OPA1,
O60361,NME2P1,
O60488,ACSL4,
O60522,TDRD6,
O60568,PLOD3,
O60783,MRPS14,
O70572,Smpd2,
O70593,Sgta,
O75027-2,ABCB7,
O75037,KIF21B,
O75113,N4BP1,
O75326,SEMA7A,
O75351,VPS4B,
O75380,NDUFS6,
O75381,PEX14,
O75390,CS,
O75431,MTX2,
O75449,KATNA1,
O75477,ERLIN1,
O75582,RPS6KA5,
O75643,SNRNP200,
O75718,CRTAP,
O75781,PALM,
O75794,CDC123,
O75865-2,TRAPPC6A,
O75874,IDH1,
O75955,FLOT1,
O76031,CLPX,
O76041-2,NEBL,
O76094,SRP72,
O88664,Taok1,
O88813,Acsl5,
O94804,STK10,
O94808,GFPT2,
O94822-3,LTN1,
O94826,TOMM70,
O94851,MICAL2,
O94905,ERLIN2,
O94911,ABCA8,
O94925,GLS,
O94925-3,GLS,
O94966-5,USP19,
O95219,SNX4,
O95299,NDUFA10,
O95302-3,FKBP9,
O95340-2,PAPSS2,
O95361,TRIM16,
O95363,FARS2,
