Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pfam_Domains_2019	Homeodomain	10/217	2.091898e-04	1.296977e-02	0	0	4.315620e+00	3.656309e+01	NKX6-3;DPRX;CERS6;GBX2;SIX2;ALX3;OTX1;HOXB7;MIXL1;DRGX
Pfam_Domains_2019	BTB 2	3/50	1.956449e-02	3.745739e-01	0	0	5.570702e+00	2.191536e+01	KCTD8;KCNC1;TNFAIP1
Pfam_Domains_2019	LysM	1/5	5.595912e-02	3.745739e-01	0	0	2.167434e+01	6.249003e+01	LYSMD2
Pfam_Domains_2019	Hormone 1	1/6	6.677107e-02	3.745739e-01	0	0	1.733860e+01	4.692666e+01	CSH2
Pfam_Domains_2019	SMC N	1/6	6.677107e-02	3.745739e-01	0	0	1.733860e+01	4.692666e+01	SMC1B
Pfam_Domains_2019	SMC hinge	1/6	6.677107e-02	3.745739e-01	0	0	1.733860e+01	4.692666e+01	SMC1B
Pfam_Domains_2019	SAM 2	2/38	7.012442e-02	3.745739e-01	0	0	4.829907e+00	1.283540e+01	SAMD15;KAZN
Pfam_Domains_2019	SIX1 SD	1/7	7.745973e-02	3.745739e-01	0	0	1.444810e+01	3.695820e+01	SIX2
Pfam_Domains_2019	STAT bind	1/7	7.745973e-02	3.745739e-01	0	0	1.444810e+01	3.695820e+01	STAT1
Pfam_Domains_2019	STAT int	1/7	7.745973e-02	3.745739e-01	0	0	1.444810e+01	3.695820e+01	STAT1
Pfam_Domains_2019	Folate rec	1/8	8.802649e-02	3.745739e-01	0	0	1.238346e+01	3.009326e+01	HHIPL1
Pfam_Domains_2019	DnaJ	2/45	9.382338e-02	3.745739e-01	0	0	4.042209e+00	9.565245e+00	DNAJB1;DNAJB9
Pfam_Domains_2019	DnaJ C	1/9	9.847275e-02	3.745739e-01	0	0	1.083498e+01	2.511521e+01	DNAJB1
Pfam_Domains_2019	Insulin	1/10	1.087999e-01	3.745739e-01	0	0	9.630604e+00	2.136304e+01	INS
Pfam_Domains_2019	HMG box 2	1/10	1.087999e-01	3.745739e-01	0	0	9.630604e+00	2.136304e+01	HMGB2
Pfam_Domains_2019	R3H	1/11	1.190092e-01	3.745739e-01	0	0	8.667105e+00	1.844841e+01	R3HDM4
Pfam_Domains_2019	GAIN	1/11	1.190092e-01	3.745739e-01	0	0	8.667105e+00	1.844841e+01	ADGRB1
Pfam_Domains_2019	zf-RING 2	2/52	1.194374e-01	3.745739e-01	0	0	3.475066e+00	7.384388e+00	RNF181;RNF111
Pfam_Domains_2019	HLH	3/106	1.220355e-01	3.745739e-01	0	0	2.534754e+00	5.331711e+00	NEUROD2;FIGLA;ID2
Pfam_Domains_2019	Myotub-related	1/14	1.489438e-01	3.745739e-01	0	0	6.665992e+00	1.269329e+01	MTMR7
Pfam_Domains_2019	SAM 1	2/62	1.584984e-01	3.745739e-01	0	0	2.894420e+00	5.331552e+00	SCML1;KAZN
Pfam_Domains_2019	ARID	1/15	1.586952e-01	3.745739e-01	0	0	6.189536e+00	1.139351e+01	ARID3B
Pfam_Domains_2019	Dynamin N	1/15	1.586952e-01	3.745739e-01	0	0	6.189536e+00	1.139351e+01	MX1
Pfam_Domains_2019	OAR	1/15	1.586952e-01	3.745739e-01	0	0	6.189536e+00	1.139351e+01	DRGX
Pfam_Domains_2019	Cyt-b5	1/15	1.586952e-01	3.745739e-01	0	0	6.189536e+00	1.139351e+01	PGRMC1
Pfam_Domains_2019	TRAM LAG1 CLN8	1/16	1.683353e-01	3.745739e-01	0	0	5.776608e+00	1.029274e+01	CERS6
Pfam_Domains_2019	CH	2/66	1.747222e-01	3.745739e-01	0	0	2.712968e+00	4.732930e+00	CLMN;SPTBN1
