Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Pfam_Domains_2019,Homeodomain,10/217,0.000209189774630552,0.0129697660270942,0,0,4.3156199677938805,36.56309199757026,NKX6-3;DPRX;CERS6;GBX2;SIX2;ALX3;OTX1;HOXB7;MIXL1;DRGX
InterPro_Domains_2019,Homeobox domain,11/247,0.00013702778268573674,0.0163063061396026,0,0,4.176741564297932,37.15348142154392,NKX6-3;DPRX;CERS6;GBX2;SIX2;ALX3;OTX1;MEIS3;HOXB7;MIXL1;DRGX
InterPro_Domains_2019,"Cullin, N-terminal",2/10,0.0055288128900632,0.3289643669587605,0,0,21.765418502202643,113.13190385965368,CACUL1;ANAPC2
InterPro_Domains_2019,Ubiquitin system component CUE,1/10,0.1087998652471074,0.3407153674843627,0,0,9.630604288499026,21.363041573292428,AUP1
InterPro_Domains_2019,Thioredoxin domain,2/40,0.0766723418400058,0.3407153674843627,0,0,4.575237653605379,11.75019048178269,TMX4;NXNL1
InterPro_Domains_2019,"Pleckstrin homology domain, spectrin-type",1/6,0.0667710686239877,0.3407153674843627,0,0,17.33859649122807,46.92665820256889,SPTBN1
InterPro_Domains_2019,SMCs flexible hinge,1/6,0.0667710686239877,0.3407153674843627,0,0,17.33859649122807,46.92665820256889,SMC1B
InterPro_Domains_2019,Major sperm protein (MSP) domain,1/6,0.0667710686239877,0.3407153674843627,0,0,17.33859649122807,46.92665820256889,CFAP65
InterPro_Domains_2019,LysM domain,1/6,0.0667710686239877,0.3407153674843627,0,0,17.33859649122807,46.92665820256889,LYSMD2
InterPro_Domains_2019,"RecF/RecN/SMC, N-terminal",1/6,0.0667710686239877,0.3407153674843627,0,0,17.33859649122807,46.92665820256889,SMC1B
InterPro_Domains_2019,Dynamin central domain,1/6,0.0667710686239877,0.3407153674843627,0,0,17.33859649122807,46.92665820256889,MX1
InterPro_Domains_2019,"Transcription factor AP-2, C-terminal",1/5,0.0559591206675627,0.3407153674843627,0,0,21.67434210526316,62.49002924621723,TFAP2B
InterPro_Domains_2019,GAGE,2/32,0.0517108872495663,0.3407153674843627,0,0,5.797650513950074,17.173144838398816,GAGE4;XAGE2
InterPro_Domains_2019,"GPCR, family 2, extracellular hormone receptor domain",2/27,0.0379737481177058,0.3407153674843627,0,0,6.958942731277533,22.761728792957083,ADGRB1;SCTR
InterPro_Domains_2019,F-BAR domain,2/25,0.032942011180824,0.3407153674843627,0,0,7.564834322926642,25.81882871717791,PACSIN3;FNBP1L
InterPro_Domains_2019,"Palmitoyltransferase, DHHC domain",2/24,0.0305329595980769,0.3407153674843627,0,0,7.909090909090909,27.59441115059976,ZDHHC9;ZDHHC15
InterPro_Domains_2019,FCH domain,2/23,0.0281977490736833,0.3407153674843627,0,0,8.28613383679463,29.569177346357776,PACSIN3;FNBP1L
InterPro_Domains_2019,Potassium channel tetramerisation-type BTB domain,3/50,0.0195644856434964,0.3407153674843627,0,0,5.570702315948032,21.915361913574387,KCTD8;KCNC1;TNFAIP1
InterPro_Domains_2019,Thioredoxin-like fold,1/5,0.0559591206675627,0.3407153674843627,0,0,21.67434210526316,62.49002924621723,NXNL1
InterPro_Domains_2019,Dynamin GTPase effector,1/7,0.0774597255870468,0.3407153674843627,0,0,14.44809941520468,36.95819709150496,MX1
InterPro_Domains_2019,"Dynamin, GTPase domain",1/7,0.0774597255870468,0.3407153674843627,0,0,14.44809941520468,36.95819709150496,MX1
InterPro_Domains_2019,"STAT transcription factor, all-alpha domain",1/7,0.0774597255870468,0.3407153674843627,0,0,14.44809941520468,36.95819709150496,STAT1
InterPro_Domains_2019,Heat shock chaperonin-binding,1/10,0.1087998652471074,0.3407153674843627,0,0,9.630604288499026,21.363041573292428,ST13
InterPro_Domains_2019,Chromo domain subgroup,1/10,0.1087998652471074,0.3407153674843627,0,0,9.630604288499026,21.363041573292428,CBX4
InterPro_Domains_2019,Neurotransmitter-gated ion-channel ligand-binding domain,2/47,0.1009664205267404,0.3407153674843627,0,0,3.862163485070974,8.855814530065397,CHRNA2;HTR3A
InterPro_Domains_2019,Cullin homology domain,1/9,0.0984727480201038,0.3407153674843627,0,0,10.834978070175438,25.115213048021783,ANAPC2
InterPro_Domains_2019,"Chaperone DnaJ, C-terminal",1/9,0.0984727480201038,0.3407153674843627,0,0,10.834978070175438,25.115213048021783,DNAJB1
InterPro_Domains_2019,Neurotransmitter-gated ion-channel transmembrane domain,2/46,0.0973760852325378,0.3407153674843627,0,0,3.950140168201842,9.20056626462048,CHRNA2;HTR3A
InterPro_Domains_2019,Insulin-like,1/10,0.1087998652471074,0.3407153674843627,0,0,9.630604288499026,21.363041573292428,INS
InterPro_Domains_2019,Sterile alpha motif domain,3/93,0.0911194121839743,0.3407153674843627,0,0,2.902802359882006,6.953908081181469,SAMD15;SCML1;KAZN
InterPro_Domains_2019,"Ataxin-2, C-terminal",1/8,0.0880264908328033,0.3407153674843627,0,0,12.38345864661654,30.09325929045408,PAIP2
InterPro_Domains_2019,"Homeobox domain, metazoa",3/90,0.0845150843557757,0.3407153674843627,0,0,3.003356728715288,7.420769632452036,NKX6-3;GBX2;HOXB7
InterPro_Domains_2019,"Homeobox protein SIX1, N-terminal SD domain",1/7,0.0774597255870468,0.3407153674843627,0,0,14.44809941520468,36.95819709150496,SIX2
InterPro_Domains_2019,"Homeobox protein PKNOX/Meis, N-terminal",1/7,0.0774597255870468,0.3407153674843627,0,0,14.44809941520468,36.95819709150496,MEIS3
InterPro_Domains_2019,"Nuclear Testis  protein, N-terminal",1/7,0.0774597255870468,0.3407153674843627,0,0,14.44809941520468,36.95819709150496,NUTM2B
InterPro_Domains_2019,"STAT transcription factor, protein interaction",1/7,0.0774597255870468,0.3407153674843627,0,0,14.44809941520468,36.95819709150496,STAT1
InterPro_Domains_2019,Folate receptor-like,1/8,0.0880264908328033,0.3407153674843627,0,0,12.38345864661654,30.09325929045408,HHIPL1
InterPro_Domains_2019,"STAT transcription factor, DNA-binding",1/7,0.0774597255870468,0.3407153674843627,0,0,14.44809941520468,36.95819709150496,STAT1
InterPro_Domains_2019,GTPase effector domain,1/8,0.0880264908328033,0.3407153674843627,0,0,12.38345864661654,30.09325929045408,MX1
InterPro_Domains_2019,DnaJ domain,2/50,0.11195017845316,0.3415915701519497,0,0,3.620227606461087,7.927217247834004,DNAJB1;DNAJB9
InterPro_Domains_2019,R3H domain,1/11,0.1190091952358663,0.3454169325138559,0,0,8.667105263157895,18.448406065583505,R3HDM4
InterPro_Domains_2019,"GAIN domain, N-terminal",1/11,0.1190091952358663,0.3454169325138559,0,0,8.667105263157895,18.448406065583505,ADGRB1
InterPro_Domains_2019,Myotubularin-like phosphatase domain,1/14,0.1489437612271327,0.363167785801501,0,0,6.665991902834008,12.693291695257216,MTMR7
InterPro_Domains_2019,"INTS6/SAGE1/DDX26B/CT45, C-terminal",1/13,0.139079828314219,0.363167785801501,0,0,7.221856725146199,14.246608804434006,CT45A6
InterPro_Domains_2019,"Myc-type, basic helix-loop-helix (bHLH) domain",3/114,0.1427115418460123,0.363167785801501,0,0,2.3511121741210235,4.577450533336564,NEUROD2;FIGLA;ID2
InterPro_Domains_2019,"Zinc finger, CCCH-type",2/59,0.1465304138425751,0.363167785801501,0,0,3.047221578174512,5.852256899615508,ZC3H3;ZC3H13
InterPro_Domains_2019,BTB/POZ domain,4/178,0.1479893916613376,0.363167785801501,0,0,2.002247765006386,3.825523984333208,KCTD8;KCNC1;TNFAIP1;ZBTB44
InterPro_Domains_2019,Synaptobrevin,1/12,0.1291020754856885,0.363167785801501,0,0,7.878787878787879,16.129075612668764,STXBP5L
InterPro_Domains_2019,"GPCR, family 2-like",2/60,0.1504987693049717,0.363167785801501,0,0,2.994531368676895,5.6710446205716,ADGRB1;SCTR
InterPro_Domains_2019,ARID DNA-binding domain,1/15,0.1586951669048575,0.363167785801501,0,0,6.18953634085213,11.393513467474346,ARID3B
